EVENT,BOUT,OUTCOME,WEIGHTCLASS,METHOD,ROUND,TIME,TIME FORMAT,REFEREE,DETAILS
UFC Fight Night: Sandhagen vs. Figueiredo,Juliana Miller vs. Ivana Petrovic,W/L,Women's Flyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Tyrone Roberts,Josh Stewart 28 - 29. Bruce Huckfeldt 28 - 29. Mike Bell 28 - 29.
UFC Fight Night: Sandhagen vs. Figueiredo,Don'Tale Mayes vs. Thomas Petersen,W/L,Heavyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Bruce Allen,Bruce Huckfeldt 25 - 30. Ron McCarthy 26 - 30. Derek Cleary 26 - 30.
UFC Fight Night: Sandhagen vs. Figueiredo,Quang Le vs. Gaston Bolanos,W/L,Bantamweight Bout,Submission ,2,1:54,3 Rnd (5-5-5),Tyrone Roberts,Rear Naked Choke
UFC Fight Night: Sandhagen vs. Figueiredo,Gillian Robertson vs. Marina Rodriguez,W/L,Women's Strawweight Bout,KO/TKO ,2,2:07,3 Rnd (5-5-5),Bruce Allen,Punches to Head From Mount
UFC Fight Night: Sandhagen vs. Figueiredo,Azamat Bekoev vs. Ryan Loder,W/L,Middleweight Bout,KO/TKO ,1,2:44,3 Rnd (5-5-5),Gary Copeland,Punch to Head At Distance
UFC Fight Night: Sandhagen vs. Figueiredo,Yana Kunitskaya vs. Miesha Tate,W/L,Women's Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Kevin MacDonald,Josh Stewart 28 - 29. Derek Cleary 28 - 29. Brian Puccillo 28 - 29.
UFC Fight Night: Sandhagen vs. Figueiredo,Mason Jones vs. Jeremy Stephens,W/L,Lightweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mike Beltran,Ron McCarthy 27 - 30. Bruce Huckfeldt 27 - 30. Mike Bell 27 - 30.
UFC Fight Night: Sandhagen vs. Figueiredo,Serhiy Sidey vs. Cameron Smotherman,W/L,Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Josh Stewart 27 - 30. Ellis Moore 28 - 29. Brian Puccillo 28 - 29.
UFC Fight Night: Sandhagen vs. Figueiredo,Montel Jackson vs. Daniel Marcos,W/L,Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Gary Copeland,Bruce Huckfeldt 27 - 30. Derek Cleary 27 - 30. Brian Puccillo 27 - 30.
UFC Fight Night: Sandhagen vs. Figueiredo,Daniel Rodriguez vs. Santiago Ponzinibbio,W/L,Welterweight Bout,KO/TKO ,3,1:12,3 Rnd (5-5-5),Kevin MacDonald,Punch to Head At Distance
