FIGHTER,HEIGHT,WEIGHT,REACH,STANCE,DOB,sexe
Tom Aaron,--,155 lbs.,--,,1978-07-13,M
Danny Abbadi,5' 11",155 lbs.,--,Orthodox,1983-07-03,M
David Abbott,6' 0",265 lbs.,--,Switch,,M
Shamil Abdurakhimov,6' 3",235 lbs.,76",Orthodox,1981-09-02,M
Hiroyuki Abe,5' 6",145 lbs.,--,Orthodox,,M
Daichi Abe,5' 11",170 lbs.,71",Orthodox,1991-11-27,M
Papy Abedi,5' 11",185 lbs.,--,Southpaw,1978-06-30,M
Ricardo Abreu,5' 11",185 lbs.,--,Orthodox,1984-04-27,M
Klidson Abreu,6' 0",205 lbs.,74",Orthodox,1992-12-24,M
Daniel Acacio,5' 8",180 lbs.,--,Orthodox,1977-12-27,M
Scott Adams,6' 0",225 lbs.,--,Southpaw,,M
Juan Adams,6' 5",265 lbs.,80",Orthodox,1992-01-16,M
Anthony Adams,6' 1",185 lbs.,76",Orthodox,1988-01-13,M
Zarrukh Adashev,5' 5",125 lbs.,65",Southpaw,1992-07-29,M
Israel Adesanya,6' 4",185 lbs.,80",Switch,1989-07-22,M
Sam Adkins,6' 3",225 lbs.,--,Orthodox,1965-04-26,M
Nick Agallar,5' 8",155 lbs.,--,Orthodox,1979-01-13,M
Mariya Agapova,5' 6",125 lbs.,68",Southpaw,1997-04-07,F
Marcelo Aguiar,5' 10",170 lbs.,--,Orthodox,,M
Fabio Aguiar,6' 0",185 lbs.,--,,1988-02-10,M
Edwin Aguilar,5' 10",185 lbs.,--,,,M
Jessica Aguilar,5' 3",115 lbs.,63",Orthodox,1982-05-08,F
Kevin Aguilar,5' 7",155 lbs.,73",Orthodox,1988-09-07,M
Christian Aguilera,5' 9",170 lbs.,72",Switch,1991-11-25,M
Mike Aina,5' 9",155 lbs.,--,Orthodox,,M
Hitomi Akano,5' 4",135 lbs.,--,Southpaw,1974-07-27,F
Omari Akhmedov,6' 0",185 lbs.,73",Orthodox,1987-10-12,M
Yoshihiro Akiyama,5' 10",170 lbs.,75",Orthodox,1975-07-29,M
Rostem Akman,5' 10",170 lbs.,72",Switch,1991-12-19,M
Razak Al-Hassan,6' 2",205 lbs.,--,Orthodox,1982-05-14,M
Mostapha Al-Turk,6' 2",245 lbs.,77",Orthodox,1973-07-14,M
Herdem Alacabek,6' 2",205 lbs.,75",Orthodox,1991-06-07,M
Javi Alanis,5' 6",135 lbs.,--,,,M
Alatengheili,5' 5",135 lbs.,66",Orthodox,1991-12-14,M
Amir Albazi,5' 5",125 lbs.,68",Orthodox,1993-10-27,M
Brett Albee,--,225 lbs.,--,,,M
John Albert,5' 8",135 lbs.,68",Orthodox,1986-10-13,M
Junior Albini,6' 3",264 lbs.,74",Orthodox,1991-03-15,M
Wes Albritton,5' 10",188 lbs.,--,Orthodox,,M
Aleksandra Albu,5' 2",115 lbs.,63",Orthodox,1990-07-14,F
Israel Albuquerque,--,185 lbs.,--,Orthodox,,M
Juan Alcain,--,--,--,,,M
Iuri Alcantara,5' 9",135 lbs.,71",Southpaw,1980-08-04,M
Ildemar Alcantara,6' 2",185 lbs.,78",Orthodox,1982-11-18,M
Alfonso Alcarez,5' 3",145 lbs.,--,,1970-06-10,M
Gilbert Aldana,6' 1",250 lbs.,--,Orthodox,1977-08-25,M
Irene Aldana,5' 9",135 lbs.,68",Orthodox,1988-03-26,F
Hector Aldana,5' 11",170 lbs.,72",Orthodox,1988-08-17,M
Jose Alday,5' 7",135 lbs.,68",Orthodox,1991-09-14,M
Jose Aldo,5' 7",135 lbs.,70",Orthodox,1986-09-09,M
JJ Aldrich,5' 5",125 lbs.,67",Southpaw,1992-09-29,F
Jim Alers,5' 9",145 lbs.,71",Orthodox,1986-10-14,M
John Alessio,5' 10",155 lbs.,72",Orthodox,1979-07-05,M
Houston Alexander,6' 0",205 lbs.,72",Orthodox,1972-03-22,M
Kenneth Alexander,5' 9",155 lbs.,--,Orthodox,1977-09-25,M
Marcio Alexandre Junior,6' 0",185 lbs.,75",Southpaw,1989-05-05,M
Olaf Alfonso,6' 2",170 lbs.,--,Orthodox,1974-08-06,M
Pablo Alfonso,5' 8",145 lbs.,--,,1983-05-09,M
Levi Alford,--,--,--,,,M
Bill Algeo,6' 0",145 lbs.,73",Switch,1989-06-09,M
Royce Alger,5' 10",199 lbs.,--,Orthodox,,M
Amir Aliakbari,6' 3",250 lbs.,--,,1984-06-10,M
Sultan Aliev,5' 11",170 lbs.,74",Orthodox,1984-09-17,M
John Allan,6' 1",205 lbs.,75",Orthodox,1993-02-22,M
George Allen,6' 2",205 lbs.,--,Open Stance,1967-01-13,M
Arnold Allen,5' 8",145 lbs.,70",Southpaw,1994-01-22,M
Brendan Allen,6' 2",185 lbs.,75",Orthodox,1995-12-28,M
Ben Alloway,5' 11",170 lbs.,76",Orthodox,1981-02-19,M
Ricardo Almeida,6' 0",170 lbs.,74",Orthodox,1976-11-29,M
Magno Almeida,6' 0",155 lbs.,--,,1985-06-06,M
Thomas Almeida,5' 7",145 lbs.,70",Southpaw,1991-07-31,M
Ericka Almeida,5' 6",115 lbs.,--,Orthodox,1989-03-05,F
Estefani Almeida,5' 4",125 lbs.,--,Orthodox,1988-10-17,F
Jailton Almeida,6' 3",205 lbs.,79",Orthodox,1991-06-26,M
Lucas Almeida,5' 11",155 lbs.,71",Orthodox,1991-01-13,M
Mauricio Alonso,6' 2",170 lbs.,--,,1980-02-27,M
Sarah Alpar,5' 4",135 lbs.,63",Southpaw,1991-06-01,F
Ali AlQaisi,5' 6",135 lbs.,68",Orthodox,1990-09-23,M
Rico Altamirano,5' 10",170 lbs.,--,,,M
Victor Altamirano,5' 8",125 lbs.,70",Switch,1991-01-23,M
Mike Altman,5' 10",185 lbs.,--,Orthodox,,M
Sean Alvarez,6' 0",235 lbs.,--,Orthodox,1971-07-14,M
Eddie Alvarez,5' 9",155 lbs.,69",Orthodox,1984-01-11,M
Jaime Alvarez,5' 8",125 lbs.,69",Orthodox,1988-03-08,M
Joel Alvarez,6' 3",155 lbs.,77",Orthodox,1993-03-02,M
Thiago Alves,5' 9",170 lbs.,70",Orthodox,1983-10-03,M
Anthony Alves,--,--,--,,,M
Amilcar Alves,6' 0",170 lbs.,--,Southpaw,1988-08-08,M
Warlley Alves,5' 11",170 lbs.,72",Orthodox,1991-01-04,M
Rafael Alves,5' 8",155 lbs.,68",Orthodox,1990-11-14,M
Sam Alvey,6' 2",185 lbs.,75",Southpaw,1986-05-06,M
Andre Amado,6' 0",154 lbs.,--,Orthodox,,M
Adlan Amagov,6' 2",170 lbs.,76",Orthodox,1986-10-30,M
