Event,Fight
UFC Fight Night: Machado Garry vs. Prates,Ian Garry vs. Carlos Prates
UFC Fight Night: Machado Garry vs. Prates,Zhang Minyang vs. Anthony Smith
UFC Fight Night: Machado Garry vs. Prates,David Onama vs. Giga Chikadze
UFC Fight Night: Machado Garry vs. Prates,Abus Magomedov vs. Michel Pereira
UFC Fight Night: Machado Garry vs. Prates,Randy Brown vs. Nicolas Dalby
UFC Fight Night: Machado Garry vs. Prates,Ikram Aliskerov vs. Andre Muniz
UFC Fight Night: Machado Garry vs. Prates,Matt Schnell vs. Jimmy Flick
UFC Fight Night: Machado Garry vs. Prates,Evan Elder vs. Gauge Young
UFC Fight Night: Machado Garry vs. Prates,Chris Gutierrez vs. John Castaneda
UFC Fight Night: Machado Garry vs. Prates,Da'Mon Blackshear vs. Alatengheili
UFC Fight Night: Machado Garry vs. Prates,Malcolm Wellmaker vs. Cameron Saaiman
UFC Fight Night: Machado Garry vs. Prates,Jaqueline Amorim vs. Polyana Viana
UFC Fight Night: Machado Garry vs. Prates,Timothy Cuamba vs. Roberto Romero
UFC Fight Night: Machado Garry vs. Prates,Joselyne Edwards vs. Chelsea Chandler
UFC 314: Volkanovski vs. Lopes,Alexander Volkanovski vs. Diego Lopes
UFC 314: Volkanovski vs. Lopes,Paddy Pimblett vs. Michael Chandler
UFC 314: Volkanovski vs. Lopes,Yair Rodriguez vs. Patricio Freire
UFC 314: Volkanovski vs. Lopes,Jean Silva Lord vs. Bryce Mitchell
UFC 314: Volkanovski vs. Lopes,Dominick Reyes vs. Nikita Krylov
UFC 314: Volkanovski vs. Lopes,Dan Ige vs. Sean Woodson
UFC 314: Volkanovski vs. Lopes,Virna Jandiroba vs. Yan Xiaonan
UFC 314: Volkanovski vs. Lopes,Chase Hooper vs. Jim Miller
UFC 314: Volkanovski vs. Lopes,Julian Erosa vs. Darren Elkins
UFC 314: Volkanovski vs. Lopes,Michal Oleksiejczuk vs. Sedriques Dumas
UFC 314: Volkanovski vs. Lopes,Sumudaerji vs. Mitch Raposo
UFC 314: Volkanovski vs. Lopes,Marco Tulio vs. Tresean Gore
UFC 314: Volkanovski vs. Lopes,Nora Cornolle vs. Hailey Cowan
UFC Fight Night: Emmett vs. Murphy,Lerone Murphy vs. Josh Emmett
UFC Fight Night: Emmett vs. Murphy,Pat Sabatini vs. Joanderson Brito
UFC Fight Night: Emmett vs. Murphy,Chang Ho Lee vs. Cortavious Romious
UFC Fight Night: Emmett vs. Murphy,Brad Tavares vs. Gerald Meerschaert
UFC Fight Night: Emmett vs. Murphy,Ode Osbourne vs. Luis Gurule
UFC Fight Night: Emmett vs. Murphy,Torrez Finney vs. Robert Valentin Frey
UFC Fight Night: Emmett vs. Murphy,Dione Barbosa vs. Diana Belbita
UFC Fight Night: Emmett vs. Murphy,Rhys McKee vs. Daniel Frunza
UFC Fight Night: Emmett vs. Murphy,Loma Lookboonmee vs. Istela Nunes
UFC Fight Night: Emmett vs. Murphy,Victor Henry vs. Pedro Falcao
